Month,Value
1749-01,0.162790698
1749-02,0.269767442
1749-03,0.441860465
1749-04,0.109302326
1749-05,0.790697674
1749-06,0.755813953
1749-07,1.018604651
1749-08,0.355813953
1749-09,0.579069767
1749-10,0.569767442
1749-11,2.502325581
1749-12,0.795348837
1750-01,0.518604651
1750-02,0.579069767
1750-03,0.888372093
1750-04,0.86744186
1750-05,0.906976744
1750-06,1.139534884
1750-07,0.8
1750-08,1.209302326
1750-09,0.934883721
1750-10,0.341860465
1750-11,0.286046512
1750-12,0.56744186
1751-01,0.441860465
1751-02,-0.174418605
1751-03,-0.13255814
1751-04,0.125581395
1751-05,0.225581395
1751-06,-0.006976744
1751-07,0.355813953
1751-08,0.204651163
1751-09,-0.639534884
1751-10,-0.646511628
1751-11,-0.523255814
1751-12,-0.162790698
1752-01,-0.372093023
1752-02,-0.023255814
1752-03,0.465116279
1752-04,0.193023256
1752-05,0.202325581
1752-06,-0.265116279
1752-07,0.637209302
1752-08,-0.504651163
1752-09,-0.555813953
1752-10,-0.102325581
1752-11,-0.311627907
1752-12,-0.255813953
1753-01,-0.162790698
1753-02,-0.441860465
1753-03,-0.123255814
1753-04,-0.302325581
1753-05,-0.348837209
1753-06,-0.448837209
1753-07,-0.669767442
1753-08,-0.279069767
1753-09,-0.534883721
1753-10,-0.604651163
1753-11,-0.720930233
1753-12,-1.030232558
1754-01,-1.186046512
1754-02,-1.11627907
1754-03,-1.146511628
1754-04,-0.86744186
1754-05,-0.704651163
1754-06,-0.565116279
1754-07,-0.748837209
1754-08,-0.9
1754-09,-0.995348837
1754-10,-0.625581395
1754-11,-0.879069767
1754-12,-1.088372093
1755-01,-0.948837209
1755-02,-0.925581395
1755-03,-1.027906977
1755-04,-1.034883721
1755-05,-1.186046512
1755-06,-1.186046512
1755-07,-0.986046512
1755-08,-1.111627907
1755-09,-0.772093023
1755-10,-0.634883721
1755-11,-1.027906977
1755-12,-0.720930233
1756-01,-0.895348837
1756-02,-1.020930233
1756-03,-1.060465116
1756-04,-0.96744186
1756-05,-0.895348837
1756-06,-0.886046512
1756-07,-1.102325581
1756-08,-1.037209302
1756-09,-0.911627907
1756-10,-0.853488372
1756-11,-0.790697674
1756-12,-0.96744186
1757-01,-0.858139535
1757-02,-0.693023256
1757-03,-0.576744186
1757-04,-0.488372093
1757-05,-0.3
1757-06,-0.888372093
1757-07,-0.604651163
1757-08,0.006976744
1757-09,-0.262790698
1757-10,-0.430232558
1757-11,0.318604651
1757-12,-0.406976744
1758-01,-0.311627907
1758-02,0.023255814
1758-03,-0.046511628
1758-04,0.495348837
1758-05,-0.106976744
1758-06,-0.139534884
1758-07,-0.162790698
1758-08,-0.286046512
1758-09,0.26744186
1758-10,-0.309302326
1758-11,-0.186046512
1758-12,-0.186046512
1759-01,-0.062790698
1759-02,-0.162790698
1759-03,-0.097674419
1759-04,-0.093023256
1759-05,-0.046511628
1759-06,-0.023255814
1759-07,0
1759-08,0.472093023
1759-09,0.609302326
1759-10,0.202325581
1759-11,-0.109302326
1759-12,0.139534884
1760-01,0.379069767
1760-02,0.197674419
1760-03,0.551162791
1760-04,0.169767442
1760-05,0.488372093
1760-06,-0.062790698
1760-07,0.348837209
1760-08,0.572093023
1760-09,0.239534884
1760-10,-0.009302326
1760-11,0.202325581
1760-12,0.23255814
1761-01,0.441860465
1761-02,0.930232558
1761-03,0.690697674
1761-04,0.481395349
1761-05,1.306976744
1761-06,1.123255814
1761-07,1.002325581
1761-08,0.93255814
1761-09,1.155813953
1761-10,0.876744186
1761-11,0.9
1761-12,-0.11627907
1762-01,-0.16744186
1762-02,0.506976744
1762-03,-0.123255814
1762-04,0.213953488
1762-05,-0.258139535
1762-06,0.606976744
1762-07,-0.4
1762-08,0.388372093
1762-09,0.406976744
1762-10,0.425581395
1762-11,0.623255814
1762-12,0.609302326
1763-01,0.127906977
1763-02,-0.444186047
1763-03,-0.390697674
1763-04,-0.420930233
1763-05,-0.425581395
1763-06,-0.353488372
1763-07,0.074418605
1763-08,-0.569767442
1763-09,0.397674419
1763-10,-0.109302326
1763-11,0.230232558
1763-12,0.241860465
